"","sitename","exp_et","beta_et","rwsc"
"1","AT-Neu",0.700622508455343,0.532198461077072,336.519076261364
"2","AU-DaS",0.874238766756093,0.496303903191306,631.822273954749
"3","DE-Hai",1.00775116635291,0.430738539613264,352.292864084049
"4","DE-Tha",1.48968965636379,0.364889314296754,218.041562705301
"5","FR-LBr",0.555739625347083,0.408399061366315,194.792511336505
"6","FR-Pue",1.44139199321187,0.322321604705745,123.154835750136
"7","GF-Guy",0.0888483455768291,0.630969801259719,52.3015175275505
"8","NL-Loo",0.263404637678021,0.376006409843716,49.8712025618164
"9","US-Me2",0.609462760388851,0.28521087394945,607.869197264314
"10","US-NR1",0.01,0.330568664822371,58.2064938247204
"11","US-SRM",1.22528263750862,0.230835250347326,26.355881322699
"12","US-Ton",1.5,0.177856695468726,309.775556452572
"13","US-Wkg",1.5,0.235005376324957,62.1426197793335
