,sitename,rwsc,rwsc.1,rwsc.2,rwsc.3,rwsc.4,rwsc.5
1,AT-Neu,149.9004297,328.1438153,349.4873822,349.1213335,581.8303351,323.7341116
2,AU-DaS,631.822274,631.822274,631.822274,631.822274,551.3136607,631.822274
3,DE-Hai,607.8691973,607.8691973,352.2928641,352.2928641,352.2928641,352.2928641
4,DE-Tha,339.8894174,339.8894174,110.7589029,339.8894174,339.8894174,339.8894174
5,FR-LBr,206.1221335,328.7529422,206.1221335,205.1611326,344.5637919,206.1221335
6,FR-Pue,120.1379183,108.7502986,112.6661089,108.0161034,101.021804,124.8708424
7,GF-Guy,52.30151753,66.06620703,56.75541381,79.97083252,52.30151753,52.30151753
8,NL-Loo,384.4366745,180.1382537,175.2618895,72.89164136,65.07839119,41.83579361
9,US-Me2,293.115608,360.1690337,348.3087535,295.8920925,352.0118966,352.0118966
10,US-NR1,981.1328127,981.1328127,33.82203016,52.90359403,981.1328127,913.7238852
11,US-SRM,24.84454481,29.41985133,45.88408789,27.05008682,40.30360394,25.84048224
12,US-Ton,178.1546752,294.1071179,178.1546762,178.1546762,178.1546742,229.2344058
13,US-Wkg,62.14261978,62.14261978,62.14261978,62.14261978,62.14261978,62.14261978
