"","sitename","exp_et","beta_et","rwsc"
"1","AT-Neu",0.226939705481678,0.522944495100469,193.056529968977
"2","AU-DaS",0.854915498878301,0.492402765465589,631.822273954749
"3","DE-Hai",0.43116264338797,0.408215271346587,352.292864084049
"4","DE-Tha",1.5,0.33314326144788,339.88941735914
"5","FR-LBr",0.613625847232829,0.410232259945434,329.034991919994
"6","FR-Pue",1.42222335758993,0.328972979873132,108.40260297348
"7","GF-Guy",0.0815830853748014,0.625410382726554,44.5469881764454
"8","NL-Loo",1.03257197128645,0.442012975037293,65.553311621
"9","US-Me2",1.470980187034,0.300037997945841,48.3513813996251
"10","US-NR1",0.0435889423690004,0.337245162591483,62.6802857670616
"11","US-SRM",1.36692945509732,0.229424660425652,32.0253753682484
"12","US-Ton",1.39369156010468,0.179139314190922,178.154674216887
"13","US-Wkg",1.5,0.221657509139537,62.1426197793335
