,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.309918404,0.503742129,351.8839235
2,AU-DaS,0.811975552,0.48744191,588.2079339
3,DE-Hai,0.60946276,0.402048243,607.8691973
4,DE-Tha,1.014205921,0.36190083,218.0415617
5,FR-LBr,0.7410744,0.429370497,329.0349919
6,FR-Pue,1.405073202,0.338595131,123.005079
7,GF-Guy,0.077648293,0.619308358,72.33176186
8,NL-Loo,0.639962414,0.404543598,52.69098264
9,US-Me2,0.617771512,0.29379597,352.0118966
10,US-NR1,0.01,0.312122422,981.1328127
11,US-SRM,0.974348975,0.216512384,40.13923194
12,US-Ton,1.226106739,0.202756404,240.8305819
13,US-Wkg,1.5,0.227716341,62.14261978
