,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.362430805,0.527797061,328.2183538
2,AU-DaS,0.86739057,0.494820509,631.822273
3,DE-Hai,1.100953819,0.429036272,352.2928641
4,DE-Tha,1.075231556,0.376369839,125.0341366
5,FR-LBr,0.598390482,0.406741106,311.1151415
6,FR-Pue,1.259410067,0.330445559,105.7953401
7,GF-Guy,0.080367774,0.631829086,68.95664032
8,NL-Loo,1.150614825,0.406196284,134.6788319
9,US-Me2,1.471004528,0.300604271,48.33530224
10,US-NR1,0.027735851,0.328054228,58.20649283
11,US-SRM,1.5,0.241721242,24.79128329
12,US-Ton,1.239129207,0.169247431,178.1546752
13,US-Wkg,1.5,0.226111224,62.14261978
