,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.150337806,0.509161023,324.4457066
2,AU-DaS,0.847798365,0.492450561,427.7760857
3,DE-Hai,0.572418687,0.415267155,352.2928641
4,DE-Tha,1.345605161,0.35489119,330.7021778
5,FR-LBr,0.593429866,0.418245017,206.1221335
6,FR-Pue,1.418022285,0.332120627,108.3012671
7,GF-Guy,0.079188698,0.625470428,69.19826278
8,NL-Loo,0.275139315,0.389149944,43.42105822
9,US-Me2,0.83405772,0.290327683,352.0118966
10,US-NR1,0.01000016,0.325528241,58.20649283
11,US-SRM,0.927224969,0.23504374,25.85019345
12,US-Ton,0.889701854,0.162283278,178.1546762
13,US-Wkg,1.5,0.227378123,62.14261978
