,sitename,exp_et,beta_et,rwsc,soil type,depth,,,
1,AT-Neu,0.783471747,0.537264053,337.1863646,?sandy?loam,,,Georg Who2008,
2,AU-DaS,0.941108064,0.496169076,577.024565,sandy loam,,,"Mousong Wu,. Et  2018",
3,DE-Hai,0.469462764,0.411880558,387.8691973,silty clay,50-60cm,"clay 40%, sand 4%",Alexander 2003,
4,DE-Tha,1.487110753,0.336213987,337.815864,silt loam,,,Anne-Katrin Prescher?2009,
5,FR-LBr,0.609446704,0.417166542,235.0895715,sandy,"ark organic matter in the first 60 cm, 60-80 compacted sand",,Paul Berbigier?1999,CO2 and water vapor flux
6,FR-Pue,1.5,0.324866406,153.3983454,sandy clay loam,,,"Mousong Wu,. Et  2018",
7,GF-Guy,0.081881634,0.626701881,62.00327362,clay,,,"Damien Bonal,2008",The impact of severe dry season
8,NL-Loo,0.590259817,0.354282341,353.7756051,loamy sand,,,"Mousong Wu,. Et  2018",
9,US-Me2,0.049057633,0.289666298,333.9509577,sandy loam,,,"Irvine et al., 2008",
10,US-NR1,0.025809916,0.326104948,43.40414951,loamy sand,(almost all sand),,"S. P. Burns,2015",
11,US-SRM,1.5,0.239135646,39.93142333,sandy loam,(silt ??????),"(max root 15m? shallow 0.1-0.3, deep >1)",,
12,US-Ton,1.5,0.166459999,291.7299115,silt loam,(??sand ????loam?? silt??????????,,Dennis?2003,how plant functional type
13,US-Wkg,1.5,0.230218422,45.84233043,Loam,,,"Mousong Wu,. Et  2018",remote sensing
