"","sitename","exp_et","beta_et","rwsc"
"1","AT-Neu",0.150337805926005,0.509161023492269,324.445706615224
"2","AU-DaS",0.847798365364102,0.492450560606208,427.776085651793
"3","DE-Hai",0.572418687269719,0.41526715537338,352.292864084049
"4","DE-Tha",1.34560516059576,0.354891190102424,330.702177813015
"5","FR-LBr",0.59342986602021,0.41824501693385,206.122133545578
"6","FR-Pue",1.41802228528763,0.33212062681778,108.301267098507
"7","GF-Guy",0.0791886984016865,0.625470428106017,69.1982627759558
"8","NL-Loo",0.27513931481439,0.389149944154107,43.4210582207743
"9","US-Me2",0.834057719646581,0.290327682513349,352.011896595126
"10","US-NR1",0.010000159545112,0.325528241394386,58.2064928263426
"11","US-SRM",0.927224969003231,0.235043739890535,25.8501934499867
"12","US-Ton",0.889701854215508,0.162283278450803,178.154676216887
"13","US-Wkg",1.5,0.227378123238943,62.1426197793335
