,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.145630023,0.507782938,326.0599426
2,AU-DaS,0.898729554,0.486452931,561.0721233
3,DE-Hai,0.669462765,0.411912584,387.8691973
4,DE-Tha,1.1,0.336102659,337.815866
5,FR-LBr,0.611010444,0.419468918,211.7281244
6,FR-Pue,1.1,0.321701661,101.6446836
7,GF-Guy,0.081956091,0.626710301,62.00327362
8,NL-Loo,0.883318972,0.398157996,138.8925971
9,US-Me2,1.090829192,0.289669919,239.5926006
10,US-NR1,0.086424097,0.33710256,24.31361066
11,US-SRM,1.1,0.203097024,35.81333974
12,US-Ton,0.948386638,0.155799734,283.6632309
13,US-Wkg,1.1,0.195637828,113.2096737
