,sitename,exp_et,beta_et,rwsc,,
1,US-Ton,1.412735502,0.189133953,236.57831,,
2,US-Ton,1.486641275,0.205994711,295.0673931,,
3,US-Ton,1.456392714,0.205937013,269.9660199,,
4,US-Ton,1.466540625,0.188461636,192.3579866,,
5,US-Ton,1.430794943,0.17756271,307.2296136,,
6,US-Ton,1.48002888,0.197112811,232.3355849,,
7,US-Ton,1.470569752,0.190712792,293.2416874,,
8,US-Ton,1.392613885,0.198160493,191.9724102,,
9,US-Ton,1.486796625,0.192238119,256.5588013,,
10,US-Ton,1.454919457,0.227257302,302.6035526,,
,,,,257.791136,43.41005248,0.168392339
,,1.49,0.23,307,,
,,1.39,0.18,192,,
