,sitename,exp_et,beta_et,rwsc,,
1,AU-DaS,0.950282137,0.499113403,596.1586268,,
2,AU-DaS,0.927729163,0.486959897,579.00178,,
3,AU-DaS,0.879178451,0.4967085,608.2166997,,
4,AU-DaS,0.914293379,0.500134061,590.1930701,,
5,AU-DaS,0.833845982,0.494310257,601.0772904,,
6,AU-DaS,0.880233639,0.487949306,594.0536304,,
7,AU-DaS,0.843170773,0.476058769,587.2053682,,
8,AU-DaS,0.922007731,0.491371518,573.7053604,,
9,AU-DaS,0.875820353,0.491754961,583.4512092,,
10,AU-DaS,0.833804093,0.479137238,576.3782741,,
,,,,588.9441309,11.15809603,0.018945933
