,sitename,exp_et,beta_et,rwsc,,
1,DE-Tha,1.499883881,0.34619589,329.4688678,,
2,DE-Tha,0.482651207,0.349789155,49.43975148,,
3,DE-Tha,1.5,0.356633869,330.8059955,,
4,DE-Tha,1.5,0.348129953,329.7192718,,
5,DE-Tha,0.56213459,0.355796715,50.36074388,,
6,DE-Tha,1.499999998,0.365045083,332.0526984,,
7,DE-Tha,1.5,0.351486283,330.2097835,,
8,DE-Tha,0.924025134,0.363863319,102.1518728,,
9,DE-Tha,1.5,0.355220374,330.6035517,,
10,DE-Tha,1.497887311,0.351025999,328.3489269,,
,,,,251.3161464,127.7688042,0.508398708
