,sitename,exp_et,beta_et,rwsc,,
1,FR-LBr,0.553266944,0.417496536,330.1392149,,
2,FR-LBr,0.322755215,0.40798656,168.276976,,
3,FR-LBr,0.597739603,0.415582703,221.7406817,,
4,FR-LBr,0.619381335,0.424693456,228.6367308,,
5,FR-LBr,0.288102789,0.405054999,84.25974125,,
6,FR-LBr,0.627905537,0.420595762,231.5665103,,
7,FR-LBr,0.529456333,0.405306778,194.9109281,,
8,FR-LBr,0.157870808,0.393765862,78.45649015,,
9,FR-LBr,0.292394312,0.393978595,111.9226898,,
10,FR-LBr,0.595161541,0.420236626,178.0637636,,
,,,,182.7973727,77.2483497,0.422590044
