,sitename,exp_et,beta_et,rwsc,,
1,GF-Guy,0.077793537,0.621957812,62.96850653,,
2,GF-Guy,0.072442273,0.618413306,70.89295019,,
3,GF-Guy,0.086418944,0.62828061,61.85284123,,
4,GF-Guy,0.080801009,0.62667187,62.86898311,,
5,GF-Guy,0.082480775,0.626519016,69.36242757,,
6,GF-Guy,0.083352068,0.622223031,64.03876431,,
7,GF-Guy,0.08253621,0.630446995,64.04135749,,
8,GF-Guy,0.075267587,0.6223339,71.46883838,,
9,GF-Guy,0.081915896,0.631095535,66.15660667,,
10,GF-Guy,0.08108203,0.623326871,60.68770919,,
,,,,65.43389847,3.859622823,0.058985066
