,sitename,exp_et,beta_et,rwsc,,
1,NL-Loo,0.377070649,0.40881791,20.00005557,,
2,NL-Loo,0.401417858,0.415171544,20.00001467,,
3,NL-Loo,0.40679729,0.409948499,20.60226723,,
4,NL-Loo,0.385365907,0.418793096,20.00014508,,
5,NL-Loo,0.399844374,0.4136386,20,,
6,NL-Loo,0.385515798,0.419347817,20,,
7,NL-Loo,0.382436777,0.411878675,20.00025373,,
8,NL-Loo,0.413862927,0.415240255,20,,
9,NL-Loo,0.378774803,0.415446864,20,,
10,NL-Loo,0.390113522,0.416604061,20.0000975,,
,,,,20.06028338,0.190433731,0.009493073
