,sitename,exp_et,beta_et,rwsc,,
1,US-Me2,0.878976276,0.295912254,353.181891,,
2,US-Me2,0.862136248,0.293079937,352.6266728,,
3,US-Me2,0.878872299,0.295241315,353.0802328,,
4,US-Me2,0.85673377,0.29842141,312.4146213,,
5,US-Me2,1.151054325,0.295584258,260.2978914,,
6,US-Me2,0.8338741,0.311058476,302.6445909,,
7,US-Me2,0.914249485,0.301936041,354.3520232,,
8,US-Me2,0.998479293,0.294623294,283.8042834,,
9,US-Me2,0.580788792,0.305125162,274.7082287,,
10,US-Me2,1.018425013,0.297885357,322.6537203,,
,,,,316.9764156,35.96307827,0.113456637
