,sitename,exp_et,beta_et,rwsc,,
1,US-NR1,0.074407542,0.333452821,24.23982968,,
2,US-NR1,0.094031879,0.335548749,24.40117424,,
3,US-NR1,0.095384815,0.337963051,24.26671195,,
4,US-NR1,0.081222629,0.335243527,24.24132871,,
5,US-NR1,0.083518769,0.335423355,24.19004947,,
6,US-NR1,0.114882186,0.333980833,23.84511568,,
7,US-NR1,0.097777501,0.336682826,24.21676929,,
8,US-NR1,0.084923737,0.337135428,24.27218419,,
9,US-NR1,0.10049623,0.336036209,24.11127023,,
10,US-NR1,0.113987649,0.346946222,24.31764111,,
,,,,24.21020746,0.149227703,0.006163834
