,sitename,exp_et,beta_et,rwsc,,
1,FR-Pue,1.499891028,0.339389996,119.3459914,,
2,FR-Pue,1.49639421,0.333401438,118.9322946,,
3,FR-Pue,1.499991324,0.325182738,118.6491078,,
4,FR-Pue,1.409015183,0.325208634,106.8666835,,
5,FR-Pue,1.498000814,0.3366087,121.9363041,,
6,FR-Pue,1.413743701,0.326843825,116.9400016,,
7,FR-Pue,1.477142006,0.334946679,121.633331,,
8,FR-Pue,1.486999766,0.336244265,115.5479382,,
9,FR-Pue,1.264106279,0.330914974,109.4380601,,
10,FR-Pue,1.43964742,0.330147924,118.8306332,,
,,,,116.8120346,4.975147978,0.042591057
