,sitename,exp_et,beta_et,rwsc
1,AT-Neu,1.5,0.505420174,350.0463291
2,AU-DaS,0.903404162,0.493327048,584.3870372
3,DE-Hai,0.967081438,0.423375709,351.3419173
4,DE-Tha,1.5,0.350911449,330.111866
5,FR-LBr,0.30427579,0.401231882,99.39203617
6,FR-Pue,1.471576224,0.334272667,118.4159262
7,GF-Guy,0.081274445,0.626432954,63.19665009
8,NL-Loo,0.389215525,0.413964902,20
9,US-Me2,0.901153368,0.301249958,331.4158528
10,US-NR1,0.084574458,0.336137564,24.25326093
11,US-SRM,0.986772869,0.239883645,21.36206721
12,US-Ton,1.351314165,0.180841453,223.5138656
13,US-Wkg,1.5,0.229116421,46.74530756
