,sitename,exp_et,beta_et,rwsc,,
1,AT-Neu,1.005584217,0.533314492,336.4294434,,
2,AT-Neu,1.015175608,0.526982824,335.6850295,,
3,AT-Neu,1.49657827,0.525008734,351.3363554,,
4,AT-Neu,1.499946338,0.505691499,350.0748511,,
5,AT-Neu,1.5,0.50579294,348.6867571,,
6,AT-Neu,1.499643707,0.532533839,347.126442,,
7,AT-Neu,1.411097686,0.512317568,344.4616414,,
8,AT-Neu,1.499987923,0.501538892,349.6645288,,
9,AT-Neu,0.742901924,0.523777797,335.0858127,,
10,AT-Neu,1.5,0.502592682,349.6775287,,
,,,,344.822839,6.550188674,0.018995809
