"","sitename","exp_et","beta_et","rwsc"
"1","AU-DaS",0.846178136152585,0.486179286605912,585.023746301683
"2","AU-DaS",0.812083282586108,0.485157849059593,588.905691417671
"3","AU-DaS",0.861019496567469,0.486638546078774,580.801745986757
"4","AU-DaS",0.84434852603528,0.496476364309382,590.632206930162
"5","AU-DaS",0.921055086241533,0.493472157409231,594.98695537879
"6","AU-DaS",0.862036990508422,0.486638426242793,584.824277045903
"7","AU-DaS",0.832736164260101,0.492525296035622,587.784906658374
"8","AU-DaS",0.892485198341247,0.492235115528577,582.772184800966
"9","AU-DaS",0.975015089891068,0.500742146971545,578.083500843468
"10","AU-DaS",0.607536982971007,0.476513781552479,456.871445716495
