,sitename,exp_et,beta_et,rwsc,,
1,NL-Loo,0.394132183,0.423367388,20,,
2,NL-Loo,0.372157048,0.403818088,20.0000822,,
3,NL-Loo,0.422609116,0.417158411,20.00017836,,
4,NL-Loo,0.364792525,0.409424524,20.00031354,,
5,NL-Loo,0.388136758,0.413761803,20.00016029,,
6,NL-Loo,0.393391926,0.413975935,20.00046599,,
7,NL-Loo,0.426566444,0.412806705,20.00005012,,
8,NL-Loo,0.389013263,0.412005692,20.00019542,,
9,NL-Loo,0.340574271,0.407421592,20.00007444,,
10,NL-Loo,0.415647637,0.421983919,20,,
,,,,20.00015204,0.000147124,7.35614E-06
