"","sitename","exp_et","beta_et","rwsc"
"1","NL-Loo",0.377070649279926,0.40881791008724,20.0000555710584
"2","NL-Loo",0.401417857757136,0.415171543702061,20.0000146717175
"3","NL-Loo",0.406797290304577,0.409948498946307,20.6022672259051
"4","NL-Loo",0.385365906907285,0.418793096140614,20.000145082854
"5","NL-Loo",0.399844374190927,0.413638600024089,20
"6","NL-Loo",0.385515798254756,0.419347817204627,20
"7","NL-Loo",0.382436777103456,0.411878675499619,20.0002537269205
"8","NL-Loo",0.413862926782217,0.415240254581712,20
"9","NL-Loo",0.378774803044894,0.415446863851168,20
"10","NL-Loo",0.390113521635555,0.416604060546915,20.0000975032415
